time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,22,11,0,0
2026-05-27 00:00:00+00:00,16,11,0,0
2026-05-28 00:00:00+00:00,19,11,0,0
2026-05-29 00:00:00+00:00,18,12,0,0
2026-05-30 00:00:00+00:00,19,11,0,0
2026-05-31 00:00:00+00:00,17,10,0,0
2026-06-01 00:00:00+00:00,16,10,0,0
2026-06-02 00:00:00+00:00,10,8,0,0
2026-06-03 00:00:00+00:00,16,10,0,0
2026-06-04 00:00:00+00:00,24,16,0,0
2026-06-05 00:00:00+00:00,17,11,0,0
2026-06-06 00:00:00+00:00,23,14,0,0
2026-06-07 00:00:00+00:00,18,12,0,0
2026-06-08 00:00:00+00:00,19,13,0,0
