time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,14,10,0,0
2026-07-05 00:00:00+00:00,21,12,0,0
2026-07-06 00:00:00+00:00,16,10,1,1
2026-07-07 00:00:00+00:00,15,8,10,1
2026-07-08 00:00:00+00:00,5,5,1,1
2026-07-09 00:00:00+00:00,20,12,0,0
2026-07-10 00:00:00+00:00,16,10,0,0
2026-07-11 00:00:00+00:00,19,12,0,0
2026-07-12 00:00:00+00:00,14,8,0,0
2026-07-13 00:00:00+00:00,4,4,0,0
2026-07-14 00:00:00+00:00,15,10,0,0
2026-07-15 00:00:00+00:00,32,16,24,1
2026-07-16 00:00:00+00:00,10,7,2,2
2026-07-17 00:00:00+00:00,12,9,12,1
