url_path,views_total,views_unique
/jodithea/Polygenic_score_workshop,30,7
/jodithea/Polygenic_score_workshop/tree/main/01_Create_PGS,11,3
/jodithea/Polygenic_score_workshop/blob/main/01_Create_PGS/01_Format_GWAS_sumstats.sh,5,2
/jodithea/Polygenic_score_workshop/tree/main,4,2
/jodithea/Polygenic_score_workshop/issues,3,3
/jodithea/Polygenic_score_workshop/blob/main/01_Create_PGS/02_a_Impute_GWAS_sumstats.sh,2,2
/jodithea/Polygenic_score_workshop/blob/main/01_Create_PGS/05_Plink_PGS_scores.sh,2,1
/jodithea/Polygenic_score_workshop/tree/main/02_Evaluate_PGS,2,1
/jodithea/Polygenic_score_workshop/actions,1,1
/jodithea/Polygenic_score_workshop/agents,1,1
