url_path,views_total,views_unique
/jodithea/Polygenic_score_workshop/tree/main,6,1
/jodithea/Polygenic_score_workshop,4,2
/jodithea/Polygenic_score_workshop/tree/main/02_Evaluate_PGS,4,1
/jodithea/Polygenic_score_workshop/tree/main/02_Evaluate_PGS/02_Evaluate_PGS_in_R,4,1
/jodithea/Polygenic_score_workshop/tree/130acded74cdb2e5b3b9008df078caad47566e79/01_Create_PGS,3,1
/jodithea/Polygenic_score_workshop/tree/main/01_Create_PGS,3,1
/jodithea/Polygenic_score_workshop/tree/main/02_Evaluate_PGS/02_Evaluate_PGS_in_R/Results,2,1
/jodithea/Polygenic_score_workshop/blob/130acded74cdb2e5b3b9008df078caad47566e79/01_Create_PGS/03_SBayesRC_PGS_weights.sh,1,1
/jodithea/Polygenic_score_workshop/blob/130acded74cdb2e5b3b9008df078caad47566e79/01_Create_PGS/04_Align_genotype_data_with_SBayesRC.sh,1,1
/jodithea/Polygenic_score_workshop/blob/130acded74cdb2e5b3b9008df078caad47566e79/01_Create_PGS/05_Plink_PGS_scores.sh,1,1
