time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,10,4,0,0
2026-05-01 00:00:00+00:00,23,10,0,0
2026-05-02 00:00:00+00:00,23,10,3,1
2026-05-03 00:00:00+00:00,24,13,18,3
2026-05-04 00:00:00+00:00,7,7,4,2
2026-05-05 00:00:00+00:00,21,9,0,0
2026-05-06 00:00:00+00:00,22,14,0,0
2026-05-07 00:00:00+00:00,24,14,0,0
2026-05-08 00:00:00+00:00,20,15,0,0
2026-05-09 00:00:00+00:00,21,13,0,0
2026-05-10 00:00:00+00:00,19,12,5,2
2026-05-11 00:00:00+00:00,21,13,1,1
2026-05-12 00:00:00+00:00,14,9,0,0
2026-05-13 00:00:00+00:00,20,9,1,1
