time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,5,5,0,0
2026-08-01 00:00:00+00:00,12,7,0,0
2026-08-02 00:00:00+00:00,17,11,4,1
2026-08-03 00:00:00+00:00,2,2,10,2
2026-08-04 00:00:00+00:00,7,4,3,1
2026-08-05 00:00:00+00:00,3,3,5,2
2026-08-06 00:00:00+00:00,13,9,6,2
2026-08-07 00:00:00+00:00,3,3,0,0
2026-08-08 00:00:00+00:00,3,3,0,0
2026-08-09 00:00:00+00:00,16,11,0,0
2026-08-10 00:00:00+00:00,5,5,0,0
2026-08-11 00:00:00+00:00,5,5,0,0
2026-08-12 00:00:00+00:00,9,6,0,0
2026-08-13 00:00:00+00:00,14,9,3,1
