time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-13 00:00:00+00:00,4,4,0,0
2026-07-14 00:00:00+00:00,15,10,0,0
2026-07-15 00:00:00+00:00,32,16,24,1
2026-07-16 00:00:00+00:00,10,7,2,2
2026-07-17 00:00:00+00:00,12,9,12,1
2026-07-18 00:00:00+00:00,16,10,0,0
2026-07-19 00:00:00+00:00,15,9,0,0
2026-07-20 00:00:00+00:00,17,12,0,0
2026-07-21 00:00:00+00:00,11,8,0,0
2026-07-22 00:00:00+00:00,17,11,0,0
2026-07-23 00:00:00+00:00,15,11,0,0
2026-07-24 00:00:00+00:00,8,7,0,0
2026-07-25 00:00:00+00:00,5,5,0,0
2026-07-26 00:00:00+00:00,16,10,0,0
