url_path,views_total,views_unique
/jodithea/Polygenic_score_workshop,14,9
/jodithea/Polygenic_score_workshop/blob/main/02_Evaluating_Polygenic_Scores.pdf,3,3
/jodithea/Polygenic_score_workshop/tree/main,2,2
/jodithea/Polygenic_score_workshop/blob/main/LICENSE,2,1
/jodithea/Polygenic_score_workshop/tree/main/01_Create_PGS,2,1
/jodithea/Polygenic_score_workshop/tree/main/.github/workflows,2,1
/jodithea/Polygenic_score_workshop/blob/main/01_Create_PGS/02_a_Impute_GWAS_sumstats.sh,1,1
/jodithea/Polygenic_score_workshop/blob/main/.github/workflows/log-traffic.yml,1,1
/jodithea/Polygenic_score_workshop/blob/main/traffic_log.csv,1,1
/jodithea/Polygenic_score_workshop/stargazers,1,1
