url_path,views_total,views_unique
/jodithea/Polygenic_score_workshop,36,15
/jodithea/Polygenic_score_workshop/tree/github-repo-stats,13,1
/jodithea/Polygenic_score_workshop/tree/main,12,3
/jodithea/Polygenic_score_workshop/tree/main/.github/workflows,7,2
/jodithea/Polygenic_score_workshop/tree/github-repo-stats/jodithea/Polygenic_score_workshop,7,1
/jodithea/Polygenic_score_workshop/branches,6,1
/jodithea/Polygenic_score_workshop/blob/main/traffic_log.csv,4,2
/jodithea/Polygenic_score_workshop/blob/main/02_Evaluating_Polygenic_Scores.pdf,3,3
/jodithea/Polygenic_score_workshop/tree/main/01_Create_PGS,3,2
/jodithea/Polygenic_score_workshop/actions/workflows/github-repo-stats.yml,2,1
