time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-07 00:00:00+00:00,9,6,0,0
2026-03-08 00:00:00+00:00,7,4,0,0
2026-03-09 00:00:00+00:00,9,6,0,0
2026-03-10 00:00:00+00:00,11,8,0,0
2026-03-11 00:00:00+00:00,8,5,0,0
2026-03-12 00:00:00+00:00,10,6,0,0
2026-03-13 00:00:00+00:00,11,8,0,0
2026-03-14 00:00:00+00:00,9,6,0,0
2026-03-15 00:00:00+00:00,12,9,0,0
2026-03-16 00:00:00+00:00,8,5,4,1
2026-03-17 00:00:00+00:00,8,5,0,0
2026-03-18 00:00:00+00:00,8,5,6,1
2026-03-19 00:00:00+00:00,10,7,0,0
2026-03-20 00:00:00+00:00,11,8,1,1
