time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,19,13,0,0
2026-06-09 00:00:00+00:00,19,13,0,0
2026-06-10 00:00:00+00:00,9,5,0,0
2026-06-11 00:00:00+00:00,15,9,23,1
2026-06-12 00:00:00+00:00,9,7,0,0
2026-06-13 00:00:00+00:00,7,4,0,0
2026-06-14 00:00:00+00:00,23,11,0,0
2026-06-15 00:00:00+00:00,28,14,0,0
2026-06-16 00:00:00+00:00,11,8,0,0
2026-06-17 00:00:00+00:00,22,13,0,0
2026-06-18 00:00:00+00:00,21,12,0,0
2026-06-19 00:00:00+00:00,27,13,0,0
2026-06-20 00:00:00+00:00,28,13,0,0
2026-06-21 00:00:00+00:00,36,16,1,1
