url_path,views_total,views_unique
/jodithea/Sex_differences_genetics_depression/tree/main/11_FUMA,14,3
/jodithea/Sex_differences_genetics_depression/tree/main/07_SBayesS,13,1
/jodithea/Sex_differences_genetics_depression/tree/main/11_FUMA/FUMA_outputs,12,2
/jodithea/Sex_differences_genetics_depression,11,5
/jodithea/Sex_differences_genetics_depression/tree/main/11_FUMA/FUMA_outputs/MDD_Metaanalysis_Freeze3_Females_allSNP_positional10kb_MHCincl,5,2
/jodithea/Sex_differences_genetics_depression/blob/main/07_SBayesS/02_a_DENTIST_Blokland21_female.sh,5,1
/jodithea/Sex_differences_genetics_depression/tree/main/02_Format_sumstats/Females,5,1
/jodithea/Sex_differences_genetics_depression/tree/main,4,2
/jodithea/Sex_differences_genetics_depression/blob/main/07_SBayesS/03_a_SBayesS_h2.sh,4,1
/jodithea/Sex_differences_genetics_depression/blob/main/11_FUMA/01_Format_sumstats_for_SNP2GENE.txt,3,2
