url_path,views_total,views_unique
/jodithea/Sex_differences_genetics_depression,6,3
/jodithea/Sex_differences_genetics_depression/blob/main/03_Meta-analysis/Females/01_metal.sh,6,1
/jodithea/Sex_differences_genetics_depression/blob/main/04_Clumping/02_Clumping_female_Xchr.sh,5,1
/jodithea/Sex_differences_genetics_depression/tree/main/03_Meta-analysis,5,1
/jodithea/Sex_differences_genetics_depression/tree/main/03_Meta-analysis/Females,5,1
/jodithea/Sex_differences_genetics_depression/blob/main/07_SBayesS/03_a_SBayesS_h2.sh,4,1
/jodithea/Sex_differences_genetics_depression/tree/main/07_SBayesS,4,1
/jodithea/Sex_differences_genetics_depression/blob/main/02_Format_sumstats/Females/01_Format_sumstats_consistently.txt,3,1
/jodithea/Sex_differences_genetics_depression/tree/main/06_LDSC,3,1
/jodithea/Sex_differences_genetics_depression/tree/main/06_LDSC/01_Munge,3,1
