time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-16 00:00:00+00:00,,,2.0,1.0
2025-10-17 00:00:00+00:00,1.0,1.0,15.0,2.0
2025-10-18 00:00:00+00:00,1.0,1.0,,
2025-10-19 00:00:00+00:00,2.0,1.0,9.0,2.0
2025-10-21 00:00:00+00:00,,,1.0,1.0
2025-10-22 00:00:00+00:00,,,16.0,2.0
2025-10-23 00:00:00+00:00,,,15.0,3.0
2025-10-25 00:00:00+00:00,,,3.0,2.0
2025-10-26 00:00:00+00:00,,,29.0,3.0
2025-10-27 00:00:00+00:00,,,8.0,3.0
2025-10-28 00:00:00+00:00,2.0,2.0,,
2025-10-29 00:00:00+00:00,1.0,1.0,5.0,1.0
